self,alison,jane,moses,age,country
1,5,5,2,31,Mexico
1,1,5,5,54,Mexico
2,3,1,1,50,Mexico
2,4,2,1,22,Mexico
2,3,3,3,52,Mexico
1,3,1,5,50,Mexico
1,1,1,1,35,Mexico
4,4,4,5,56,Mexico
3,2,1,2,53,Mexico
1,3,1,1,22,Mexico
1,1,1,1,32,Mexico
3,3,5,1,27,Mexico
1,1,1,1,18,Mexico
2,3,3,3,82,Mexico
2,3,4,4,22,Mexico
1,5,3,4,21,Mexico
1,1,1,1,67,Mexico
1,4,5,5,34,Mexico
4,4,1,1,45,Mexico
1,4,1,1,39,Mexico
5,4,4,5,44,Mexico
1,5,5,2,22,Mexico
1,2,1,1,51,Mexico
1,3,1,2,25,Mexico
1,2,1,1,44,Mexico
1,1,1,1,27,Mexico
2,4,2,1,39,Mexico
1,1,2,1,37,Mexico
1,2,2,2,88,Mexico
2,3,2,2,32,Mexico
2,2,1,1,30,Mexico
2,3,2,1,21,Mexico
2,4,2,1,56,Mexico
1,4,2,5,55,Mexico
4,4,2,3,39,Mexico
1,4,3,5,27,Mexico
2,3,1,1,50,Mexico
2,4,1,2,37,Mexico
2,2,2,1,31,Mexico
1,3,1,1,48,Mexico
2,3,2,1,36,Mexico
1,4,1,1,52,Mexico
1,4,2,2,45,Mexico
3,1,3,2,67,Mexico
1,2,1,1,46,Mexico
1,1,2,1,48,Mexico
3,2,2,2,22,Mexico
3,2,2,1,32,Mexico
3,3,3,5,18,Mexico
1,2,2,2,42,Mexico
2,3,4,1,45,Mexico
1,2,1,1,23,Mexico
1,2,2,1,29,Mexico
4,2,4,4,32,Mexico
1,3,2,2,60,Mexico
2,2,2,2,42,Mexico
2,1,1,1,24,Mexico
2,2,2,2,32,Mexico
3,3,2,1,28,Mexico
1,3,2,1,20,Mexico
1,3,1,2,30,Mexico
2,2,5,1,33,Mexico
1,3,1,2,49,Mexico
2,3,1,1,37,Mexico
1,3,2,1,36,Mexico
1,3,2,1,30,Mexico
1,3,2,2,69,Mexico
2,4,4,5,50,Mexico
2,4,5,2,22,Mexico
1,1,1,1,72,Mexico
1,3,1,2,30,Mexico
5,5,1,5,21,Mexico
1,3,4,1,43,Mexico
1,1,1,1,42,Mexico
1,2,3,1,46,Mexico
2,1,4,5,72,Mexico
2,3,2,1,22,Mexico
1,2,2,1,35,Mexico
1,3,1,1,22,Mexico
1,5,1,3,52,Mexico
1,3,2,1,49,Mexico
2,3,5,5,33,Mexico
2,1,1,1,22,Mexico
2,3,5,2,39,Mexico
1,4,2,1,30,Mexico
3,4,1,1,35,Mexico
1,5,2,1,54,Mexico
1,1,1,2,38,Mexico
1,4,2,2,31,Mexico
2,2,2,2,26,Mexico
3,3,2,1,35,Mexico
1,2,1,2,27,Mexico
3,2,2,2,27,Mexico
1,3,2,1,58,Mexico
1,2,5,1,34,Mexico
1,3,2,1,18,Mexico
3,4,2,1,41,Mexico
1,2,2,1,21,Mexico
1,2,1,1,25,Mexico
1,2,2,5,56,Mexico
1,1,1,1,34,Mexico
2,3,3,1,36,Mexico
1,2,2,1,49,Mexico
5,3,2,2,53,Mexico
1,2,2,1,23,Mexico
2,2,2,4,26,Mexico
1,2,2,1,21,Mexico
2,1,2,2,22,Mexico
1,3,1,1,23,Mexico
2,3,2,2,20,Mexico
1,2,2,1,20,Mexico
2,1,1,1,28,Mexico
1,1,1,1,27,Mexico
1,3,1,1,26,Mexico
3,1,1,1,60,Mexico
2,3,1,1,31,Mexico
2,1,1,1,29,Mexico
1,3,2,3,24,Mexico
2,2,2,1,52,Mexico
1,4,2,2,27,Mexico
1,4,3,2,67,Mexico
1,1,1,1,68,Mexico
1,1,5,5,24,Mexico
2,3,1,1,19,Mexico
3,2,2,1,29,Mexico
2,1,3,2,33,Mexico
2,3,1,1,27,Mexico
1,3,3,2,40,Mexico
2,1,1,1,56,Mexico
1,4,5,5,22,Mexico
2,5,3,1,46,Mexico
1,2,2,1,27,Mexico
2,1,4,4,20,Mexico
1,3,2,2,42,Mexico
3,1,2,1,21,Mexico
1,1,1,1,22,Mexico
1,2,3,5,41,Mexico
1,3,5,1,38,Mexico
1,2,5,1,33,Mexico
2,3,3,2,20,Mexico
1,4,1,1,41,Mexico
2,4,5,1,21,Mexico
1,2,5,2,26,Mexico
3,5,2,1,26,Mexico
1,5,1,2,27,Mexico
1,3,2,1,26,Mexico
1,2,3,2,45,Mexico
2,2,1,2,48,Mexico
1,2,4,2,58,Mexico
2,4,3,3,48,Mexico
2,2,1,1,52,Mexico
1,5,4,1,33,Mexico
3,3,2,1,41,Mexico
3,4,2,1,19,Mexico
1,3,2,2,19,Mexico
2,3,4,5,54,Mexico
5,5,2,1,42,Mexico
1,3,3,2,27,Mexico
1,3,2,1,44,Mexico
1,3,2,2,75,Mexico
1,3,1,3,26,Mexico
1,3,2,1,48,Mexico
2,2,1,1,63,Mexico
2,3,1,1,35,Mexico
1,3,1,1,42,Mexico
5,4,3,1,31,Mexico
1,1,2,1,29,Mexico
3,2,2,2,36,Mexico
2,4,1,1,28,Mexico
1,4,5,1,32,Mexico
3,3,2,2,42,Mexico
2,2,2,4,66,Mexico
5,3,1,2,48,Mexico
1,1,1,2,64,Mexico
2,3,2,2,33,Mexico
1,2,2,2,73,Mexico
4,3,4,2,34,Mexico
1,2,1,1,46,Mexico
1,3,1,1,40,Mexico
1,4,2,2,26,Mexico
1,3,2,2,29,Mexico
1,2,5,1,49,Mexico
1,3,3,1,31,Mexico
1,3,2,2,28,Mexico
1,2,1,1,22,Mexico
4,4,2,2,67,Mexico
2,2,5,1,35,Mexico
1,1,2,2,22,Mexico
1,3,1,1,53,Mexico
3,3,2,1,46,Mexico
1,3,2,1,37,Mexico
1,2,1,1,22,Mexico
1,2,2,1,45,Mexico
1,2,1,1,20,Mexico
1,3,1,1,18,Mexico
4,4,1,1,26,Mexico
2,2,2,2,59,Mexico
1,5,1,2,51,Mexico
1,3,1,1,71,Mexico
1,2,2,2,31,Mexico
1,2,2,1,23,Mexico
1,2,1,1,20,Mexico
2,2,1,1,26,Mexico
2,3,2,2,55,Mexico
1,3,1,2,67,Mexico
1,3,1,1,31,Mexico
1,2,1,1,23,Mexico
